Defect ID,Summary,Module,Severity,Priority,Status,Logged Date,Closed Date,Root Cause,Type
D0001,Among act religious rest adult.,Procurement,Low,P1,Reopened,2025-03-24,,Integration,Technical
D0002,Water film ball keep force drug.,Accounts Payable,High,P2,In Progress,2025-04-11,,Integration,Technical
D0003,Computer career there its live.,HR,Critical,P1,Reopened,2025-03-12,,Performance,UI
D0004,Teacher represent six claim development.,Finance,High,P2,Closed,2025-03-06,2025-03-12,Integration,Data
D0005,Sort myself skill place.,HR,Medium,P3,Open,2025-01-29,,Security,UI
D0006,Bar computer herself in event choose newspaper civil.,Accounts Payable,High,P2,In Progress,2025-03-10,,UI Gap,Functional
D0007,Brother positive since fund everyone toward expect.,Accounts Receivable,Medium,P1,In Progress,2025-04-07,,Configuration,Data
D0008,Issue lose well painting.,Accounts Receivable,Medium,P2,Reopened,2025-03-25,,Configuration,Data
D0009,Back relationship plant hope.,Sales,Medium,P3,Open,2025-03-28,,Configuration,Technical
D0010,Five new standard art front product camera.,Accounts Payable,Medium,P2,In Progress,2025-04-01,,UI Gap,Data
D0011,Past visit left peace probably amount democratic.,Inventory,Medium,P3,Reopened,2025-03-23,,Performance,Data
D0012,Foreign job article.,Inventory,Critical,P2,Closed,2025-02-06,2025-04-10,Security,Technical
D0013,Shoulder job type seem point often.,Accounts Payable,Medium,P1,In Progress,2025-01-29,,Integration,UI
D0014,Too ago brother main hour speak lawyer game.,Finance,Medium,P2,Closed,2025-01-28,2025-03-10,Security,Technical
D0015,Push few indicate keep.,Sales,Medium,P3,Closed,2025-03-21,2025-03-28,Security,Data
D0016,Benefit give spring large away five road.,Sales,High,P1,Reopened,2025-02-20,,Performance,UI
D0017,Glass sense language every identify.,Finance,Critical,P1,Closed,2025-04-05,2025-04-05,Data Conversion,Data
D0018,Pretty suddenly treat budget nation why.,Accounts Payable,Critical,P2,Reopened,2025-03-01,,Configuration,Functional
D0019,Seem even thought continue.,Accounts Payable,Critical,P1,Open,2025-01-19,,Security,Technical
D0020,Job look form new a.,Accounts Payable,Low,P3,In Progress,2025-04-05,,Data Conversion,Data
D0021,Husband sport several hand.,Accounts Payable,Low,P3,In Progress,2025-02-03,,Integration,Data
D0022,Wife whom great maintain name democratic.,Procurement,Critical,P2,In Progress,2025-03-11,,Integration,Data
D0023,Career make improve market standard election watch line.,Accounts Payable,Critical,P3,Closed,2025-04-09,2025-04-10,Performance,Technical
D0024,Take this another someone rock.,Accounts Receivable,Low,P3,In Progress,2025-04-15,,UI Gap,Technical
D0025,Late office similar health toward range ball.,Accounts Payable,Medium,P3,Closed,2025-02-07,2025-03-09,Configuration,UI
D0026,And his manage town result.,Accounts Receivable,High,P3,Open,2025-04-02,,Configuration,UI
D0027,Admit trade message red line same.,Accounts Payable,Low,P3,Reopened,2025-03-07,,UI Gap,UI
D0028,Century current spring beat.,Accounts Payable,Critical,P3,Closed,2025-04-05,2025-04-14,Integration,Functional
D0029,Drive someone Republican although term.,Accounts Payable,Medium,P2,Open,2025-03-09,,Data Conversion,Technical
D0030,Use couple guy significant show.,Finance,Critical,P2,In Progress,2025-04-06,,Integration,Functional
D0031,Vote with speak each game.,HR,Critical,P2,Closed,2025-02-13,2025-03-22,Integration,Functional
D0032,Share Mr past modern lawyer sing always.,HR,Critical,P2,Open,2025-01-23,,Configuration,Data
D0033,Skin miss force arrive because again team account.,Procurement,High,P3,In Progress,2025-03-24,,UI Gap,Functional
D0034,Once language marriage month watch support style.,Procurement,Medium,P1,In Progress,2025-02-13,,Performance,Data
D0035,Her short purpose experience rate exactly.,HR,Low,P3,Closed,2025-03-24,2025-04-01,Performance,Technical
D0036,Trouble seek big kid able.,Accounts Receivable,High,P3,Reopened,2025-02-04,,UI Gap,Technical
D0037,Concern bar special police.,Accounts Receivable,Low,P2,Closed,2025-03-17,2025-04-03,Configuration,Functional
D0038,Property camera say own people start pass.,Inventory,Medium,P2,In Progress,2025-03-28,,Data Conversion,Data
D0039,Man cover front agency.,HR,High,P1,Open,2025-03-25,,Configuration,UI
D0040,Prepare card return mission.,Inventory,Low,P3,In Progress,2025-03-02,,Configuration,UI
D0041,Out education give thousand.,Finance,Low,P3,Reopened,2025-04-06,,Integration,Functional
D0042,Expect employee throughout rich.,Accounts Receivable,High,P3,Open,2025-02-07,,Configuration,Functional
D0043,Theory various to choice total time enjoy.,Procurement,High,P1,Closed,2025-03-22,2025-03-27,Security,Data
D0044,Someone ever size behind generation.,Sales,Low,P2,Reopened,2025-02-20,,Data Conversion,Data
D0045,Report analysis discussion.,Finance,Critical,P3,Closed,2025-01-23,2025-02-09,Data Conversion,Technical
D0046,School high kid hotel mean street want.,Inventory,High,P2,Reopened,2025-01-31,,Security,UI
